1282139	47449	31880	8754	0
418547	18448	5468	0	0
128793	0	0	0	15772
628351	-1052	0	0	16500
3192785	-120	0	0	10663
1537152	177617	0	0	8835
254799	272593	21636	0	9000
284350	1286680	46238	14243	0
485217	2610792	140104	61496	7911
6476765	3100117	320960	127227	11912
11709481	2149548	146907	86424	0
3297055	1173458	90235	108161	0
1419724	290322	-692	41939	0
557477	162941	0	-9000	0
424732	65487	-15281	0	0
277572	64632	0	0	0
121538	3017	0	0	0
291791	78503	0	0	0
330470	126124	0	0	0
737	492395	0	26449	0
11504	212003	0	0	0
3537869	6461065	886447	47100	0
3018356	7951137	1067707	65492	0
2444734	2726902	379827	34948	0
1713879	607318	166774	0	0
582410	325849	-52483	0	0
303119	2963827	12114	0	0
70385	-34897	0	0	0
313414	61292	-59	0	0
133282	13091	0	0	0
70305	103137	0	0	0
407303	61489	0	0	0
689646	155103	0	0	0
594625	168224	33497	0	0
992910	3266083	160181	0	0
1364666	7022231	1545107	0	0
351478	8315188	199517	3967	14716
441850	39819	24019	0	0
1353860	-277053	16456	0	0
498598	37985	0	0	0
531894	5064	5352	0	0
148528	8658	92	0	0
-64317	9377	-557	0	7038
263510	244303	22186	0	17337
2521132	234224	84410	0	0
2517592	6808441	1281966	2040	0
3556351	24949565	3184693	10603	1358
4869540	16271741	3296120	139373	0
688028	4336089	130828	21807	0
440151	-29833	-22236	0	0
623981	228266	194007	0	0
1192783	329869	-10751	7225	0
648970	1802163	56171	1210	15447
935142	2940496	16374	0	78553
102512	905855	0	0	350185
759419	751170	9114	0	487287
6523465	9174138	3100940	83886	235388
8237443	34946965	8354820	101105	90702
8910209	17757944	4918169	179795	41161
3415536	5537792	1650832	53180	-13251
1163895	984119	276574	38552	0
3656195	96964	32125	9131	0
2436080	3352025	813232	0	8954
600165	2772763	282107	0	0
821045	2506750	8568	0	488540
668322	6701623	98959	24473	325667
123518	4465661	79655	0	182737
7112905	15313233	11613189	2400013	420813
7940719	41104900	19193340	3387329	147883
15587452	52272248	13400476	1813827	265784
11004634	35113198	7677630	1271161	46662
