165523	12114	0
107433	159583	5577
881301	411223	634
2347520	184668	78604
2967212	64335	68570
1950603	126101	76731
983924	121860	67674
139201	133267	17854
38835	121751	2355
1064	64423	0
64564	68	0
0	3017	0
76470	2033	0
4242	130366	0
0	491766	629
123936	73514	14553
6258562	134871	67632
2185384	5095446	670307
1800044	502598	424260
509496	22479	75343
6262	328364	3747
119775	2926785	82733
29096	5801	0
10876	51895	1479
0	4045	17136
21831	55575	69393
329	9933	51227
10300	33696	111107
16804	139678	11742
125341	2898929	241813
1136136	4194728	1691367
10761	7636997	667430
92468	45523	86764
76734	238376	115411
399	40479	2095
2915	2149	0
178	890	9370
4788	2202	11963
89943	96491	57869
92995	83963	57266
5078133	823441	906867
15733417	5038799	4177349
9771674	4367540	2132527
289913	4011131	35045
9902	20059	128
160274	89611	21619
163356	166513	0
1579914	248039	25790
2703074	231757	5665
526261	305456	74138
41404	590875	118891
7324013	1367973	482152
17489253	9754901	7702811
8018535	5330958	4408451
3753596	1648170	136026
273413	597016	113690
9951	88277	1264
1194283	2146191	11551
2403465	369298	0
2418219	94854	6323
5719979	893407	88237
2671334	844425	949902
9404495	4300557	1608181
19333444	16113334	5658122
22791624	17355178	12125446
10818329	14656705	9638164
4600981	3780894	1754811
1549068	733031	288676
536629	230378	56819
7094693	358187	191517
11698205	609561	2759
7315930	1103025	47649
12121713	3363723	345377
8949998	7186942	1160563
15069353	15623627	4200207
17340738	12289874	4798621
17136079	20610781	18303895
6006800	9260187	13317567
14979444	7373686	3439424
1242316	280159	82314
312535	122351	38416
239226	76874	23074
7683492	320480	1148
6293407	437257	41057
5470934	857392	140519
5440795	2782674	1520203
9176970	8112020	1586186
19421165	18918937	3431858
9190632	12085814	5108253
6348698	23148854	20656527
9892406	9177651	7043907
3906171	1668152	320061
81609	30584	89771
462344	94802	3106
10532777	462779	206368
5854657	1083206	26051
4526024	3032032	1074604
6195393	4314688	2106003
12784027	9076086	1887802
6859067	13677162	4467797
6920437	2664976	2960495
45978555	49324699	37767596
16043188	11411394	3472445
255459	19829	24008
371385	11093	166292
5402729	169770	619
21007470	379285	23418
8738497	4660272	1385445
16258581	13491616	1537637
5550253	14246848	1461959
22994552	30245974	6149720
15089953	6753496	2738506
23855879	21228198	19361620
7139158	8559205	5708850
14964825	22991759	15334624
10760606	7748431	417570
6866087	804069	644488
15552954	2714676	394993
18447522	9410963	853770
23430144	22426625	3226912
31838644	30243831	5771676
18034533	14797659	4970632
19220262	11454813	2872267
20923328	17032480	3132164
20152144	10222134	3364752
12580838	8277578	627868
20005789	11127142	1193406
11633013	6003661	442824
12582812	5470697	446439
23577470	10748888	661517
31171169	24851759	3082111
47049918	49775896	5897307
35475082	29312280	4655627
21047816	21982116	2099742
26094732	15299450	6209859
28800513	33461598	8714486
11766765	51084003	2864966
7302836	18807526	1822274
4249467	13219505	945095
1100807	16035051	834709
18038666	17387447	828714
10659149	9281185	998314
7591981	19366654	885000
34380357	28867590	1816550
35400465	15291715	2842186
40497646	88554722	12095362
88602968	78203076	17593638
32803960	76957826	13302552
42778922	40575229	4704576
6541189	19686843	2121199
1232881	4285482	839398
4211463	10827474	562029
15526332	8980324	1261584
32683364	19982190	2967825
29329865	29667314	2431026
46161695	59536151	5407958
42847073	55742970	5723175
39404315	45696943	12074090
46682852	37320511	8215349
50549213	28860651	4100046
47686880	22240972	3279587
26766535	26931739	3600069
16594285	17488976	1059501
43752887	16584446	1655417
27788242	11304361	1378490
59172951	14026966	2494229
27362265	30172637	2211072
32677932	44517751	3675303
53264972	53275273	5359042
45032582	45743064	3228249
54082268	51108531	5640734
48135410	31375366	2563749
47588494	27089127	1380922
26613168	22126105	506376
1600263	7179217	523540
30075592	6071515	566820
28426710	3243766	552326
62834251	6779971	936713
45103788	41356372	2292657
42827245	39917329	3042277
40089922	69068932	6510748
58265124	55900536	5062898
53242121	64461362	6951457
36218019	37304962	3677803
